,Year,Spec,Transmission,Price,Date,Status,Mileage,Color,Interior
0,2009,Base,Manual,"$25,250",9/5/22,Sold,60k,Carrara White,Black Leather
1,2005,Base,Manual,"$17,000",8/22/22,Sold,101k,Arctic Silver Metallic,Black Leather
2,2005,S,Manual,"$29,750",8/18/22,Sold,21k,Midnight Blue Metallic,Stone Gray Full Leather
3,2009,S,Automatic,"$29,500",8/12/22,Sold,32k,Arctic Silver Metallic,Black Leather
4,2007,S,Manual,"$35,000",8/11/22,Sold,10k,Cobalt Blue Metallic,Black Leather
5,2007,S,Manual,"$30,750",7/21/22,Sold,51k,Carrara White,Sand Beige Leather
6,2006,S,Manual,"$33,013",7/14/22,Reserve Not Met,18k,Arctic Silver Metallic,Stone Gray Leather
7,2006,Base,Manual,"$23,250",7/13/22,Sold,15k,Arctic Silver Metallic,Black Leather
8,2006,S,Manual,"$31,250",7/9/22,Sold,22k,Basalt Black Metallic,Black Leather
9,2005,Base,Manual,"$25,500",7/6/22,Reserve Not Met,8k,Atlas Grey Metallic,Black Leather
10,2005,Base,Automatic,"$21,250",7/5/22,Sold,57k,Carrara White,Black Leather
11,2011,Base,Manual,"$30,289",6/18/22,Sold,27k,Carrera White,Black Leather
12,2006,Base,Manual,"$30,000",6/14/22,Sold,19k,Guards Red,Sand Beige Leather
13,2011,Spyder,Manual,"$71,200",6/10/22,Sold,20k,Black,Black Leather
14,2006,S,Manual,"$32,000",6/7/22,Reserve Not Met,6k,Arctic Silver Metallic,Black Leather
15,2005,S,Automatic,"$27,750",6/3/22,Sold,28k,Arctic Silver Metallic,Stone Gray Leather
16,2012,S,Manual,"$45,000",6/1/22,Sold,27k,Meteor Grey Metallic,Stone Grey Leather
17,2011,Spyder,Manual,"$69,000",5/25/22,Sold,15k,Carrara White,Black Leather and Alcantara
18,2006,S,Manual,"$28,250",5/24/22,Sold,46k,Cobalt Blue Metallic,Stone Gray Standard Leather
19,2008,S,Automatic,"$27,000",5/21/22,Sold,54k,GT Silver Metallic,Dark Grey Natural Leather
20,2005,S,Manual,"$32,750",5/17/22,Reserve Not Met,BLANK,BLANK,BLANK
21,2008,S,Automatic,"$41,750",5/14/22,Sold,BLANK,BLANK,BLANK
22,2005,Base,Manual,"$18,000",5/10/22,Sold,BLANK,BLANK,BLANK
23,2008,Base,Manual,"$30,000",5/6/22,Reserve Not Met,BLANK,BLANK,BLANK
24,2008,S,Manual,"$29,987",5/4/22,Reserve Not Met,BLANK,BLANK,BLANK
25,2011,Spyder,Automatic,"$73,000",5/3/22,Reserve Not Met,BLANK,BLANK,BLANK
26,2006,Base,Manual,"$19,300",4/27/22,Sold,BLANK,BLANK,BLANK
27,2008,Base,Manual,"$27,000",4/20/22,Sold,BLANK,BLANK,BLANK
28,2006,S,Manual,"$40,750",4/17/22,Sold,BLANK,BLANK,BLANK
29,2008,S,Manual,"$27,250",4/11/22,Sold,BLANK,BLANK,BLANK
30,2008,S,Automatic,"$34,000",4/10/22,Sold,BLANK,BLANK,BLANK
31,2008,S,Manual,"$60,000",4/7/22,Sold,BLANK,BLANK,BLANK
